index,date,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths,DRS
7804,2021-05-19,1.2657549806353621e-08,457274.1200334178,209491.1304581089,139773.28825533422,250295.57249515768,3498.3587377916606,Sao Jose do Rio Preto
7805,2021-05-20,7.438777017354623e-09,455577.3849371788,209703.15431976886,139914.64707915712,251635.3419179665,3502.256501236054,Sao Jose do Rio Preto
7806,2021-05-21,2.000077445896837e-09,453886.945649301,209910.62167571578,140052.9665693613,252976.48365687235,3506.075499756635,Sao Jose do Rio Preto
7807,2021-05-22,0.0,452202.7788088679,210113.56379778983,140188.26758621327,254318.96844993212,3509.8162682559228,Sao Jose do Rio Preto
7808,2021-05-23,0.0,450524.8611415359,210312.01178737453,140320.5708762723,255662.76723596753,3513.479338191464,Sao Jose do Rio Preto
7809,2021-05-24,0.0,448853.1694591927,210505.99657629785,140449.8970729917,257007.8511534404,3517.0652375390273,Sao Jose do Rio Preto
7810,2021-05-25,0.0,447187.6806596149,210695.54892773286,140576.2666973195,258354.19153932802,3520.5744907558064,Sao Jose do Rio Preto
7811,2021-05-26,0.0,445528.37172650755,210880.69943586766,140699.7001574782,259701.75992802987,3524.0076204807287,Sao Jose do Rio Preto
7812,2021-05-27,0.0,443875.2197468014,211061.47846985856,140820.21771157687,261050.5280516797,3527.3652278819227,Sao Jose do Rio Preto
7813,2021-05-28,0.0,442228.20186160353,211237.91633197988,140937.83957311066,262400.46783505386,3530.647770656579,Sao Jose do Rio Preto
7814,2021-05-29,0.0,440587.2953099049,211410.04311631375,141052.58581669437,263751.5513980342,3533.8557637305908,Sao Jose do Rio Preto
7815,2021-05-30,1.8004198786836243e-09,438952.47741497017,211577.88875248507,141164.47640723785,265103.7510534033,3536.9897187595925,Sao Jose do Rio Preto
7816,2021-05-31,2.0124454762559623e-08,437323.725584,211741.48300655038,141273.53120053903,266457.03930571995,3540.050144108452,Sao Jose do Rio Preto
7817,2021-06-01,3.7787689330563056e-08,435701.01730779174,211900.85548188782,141379.76994387712,267811.38885019487,3543.037544830769,Sao Jose do Rio Preto
7818,2021-06-02,5.3242843076357216e-08,434084.3301604019,212056.03562008552,141483.2122766056,269166.77257156646,3545.952422648366,Sao Jose do Rio Preto
7819,2021-06-03,6.465678414512761e-08,432473.641798807,212207.0527018316,141583.87773074573,270523.1635429767,3548.795275930787,Sao Jose do Rio Preto
7820,2021-06-04,6.989337391301674e-08,430868.9299625657,212353.93584780284,141681.78573157967,271880.5350248466,3551.5665996747857,Sao Jose do Rio Preto
7821,2021-06-05,6.649631156655762e-08,429270.17247347994,212496.71401955435,141776.95559824345,273238.8604637522,3554.2668854838307,Sao Jose do Rio Preto
7822,2021-06-06,5.167197868210832e-08,427677.34723525663,212635.4160204084,141869.40654432029,274598.1134913,3556.896621547585,Sao Jose do Rio Preto
7823,2021-06-07,2.2272283805285668e-08,426090.4322331697,212770.07049634395,141959.15767843407,275958.2679230029,3559.456292621416,Sao Jose do Rio Preto
7824,2021-06-08,2.4937733437409328e-08,424509.40558179404,212900.7057987188,142046.22791267288,277319.2978322698,3561.9464935416827,Sao Jose do Rio Preto
7825,2021-06-09,4.0420830220550896e-08,422934.2454138208,213027.35030374405,142130.63617570626,278681.17737608374,3564.3676674143876,Sao Jose do Rio Preto
7826,2021-06-10,5.5501278655692576e-08,421364.92994865775,213150.0322152352,142212.40128120247,280043.88090159465,3566.720268410891,Sao Jose do Rio Preto
7827,2021-06-11,6.952098469188883e-08,419801.4374983705,213268.7795474529,142291.54191638288,281407.3829548072,3569.0047765779627,Sao Jose do Rio Preto
7828,2021-06-12,8.172815749480884e-08,418243.7464552315,213383.62016080602,142368.07666583828,282771.65826052986,3571.221669209953,Sao Jose do Rio Preto
7829,2021-06-13,9.127285907625843e-08,416691.8352913937,213494.58176270578,142442.02401209882,284136.6817212698,3573.371420857046,Sao Jose do Rio Preto
7830,2021-06-14,9.720255392370107e-08,415145.68255856406,213601.6919084202,142513.40233620402,285502.4284161277,3575.4545033335107,Sao Jose do Rio Preto
7831,2021-06-15,9.84576586297792e-08,413605.2668876776,213704.97800192802,142582.2299182724,286868.87359969236,3577.471385725952,Sao Jose do Rio Preto
7832,2021-06-16,9.386709152183553e-08,412070.56698857096,213804.46729677293,142648.52493807144,288235.9927009358,3579.4225344015636,Sao Jose do Rio Preto
7833,2021-06-17,8.214382229143434e-08,410541.56164965616,213900.18689691837,142712.3054755874,289603.76132210746,3581.3084130163847,Sao Jose do Rio Preto
7834,2021-06-18,6.188042162388295e-08,409018.2297375948,213992.16375760103,142773.58951159514,290972.1552376293,3583.129482523542,Sao Jose do Rio Preto
7835,2021-06-19,3.15446108277528e-08,407500.55019697093,214080.42468618552,142832.39492822805,292341.1503929909,3584.8862011815086,Sao Jose do Rio Preto
7836,2021-06-20,9.207062414602824e-09,405988.50209269294,214164.9962139164,142888.73942342578,293710.72304833285,3586.5790539846907,Sao Jose do Rio Preto
7837,2021-06-21,1.8905032479082784e-09,404482.06454330654,214245.90479728268,142942.64064526142,295080.84955262265,3588.208506975417,Sao Jose do Rio Preto
7838,2021-06-22,0.0,402981.21669637534,214323.1768922753,142994.11624147743,296451.5062602845,3589.7749905236988,Sao Jose do Rio Preto
7839,2021-06-23,0.0,401485.93781019654,214396.838707348,143043.18369468985,297822.66980791604,3591.278955830216,Sao Jose do Rio Preto
7840,2021-06-24,0.0,399996.20721981366,214466.9163059809,143089.8603908067,299194.3169991942,3592.720851755036,Sao Jose do Rio Preto
7841,2021-06-25,0.0,398512.0043367063,214533.43560748445,143134.16361956426,300566.424803827,3594.101124837442,Sao Jose do Rio Preto
7842,2021-06-26,0.0,397033.3086484814,214596.4223878022,143176.11057506286,301938.97035650467,3595.420219315756,Sao Jose do Rio Preto
7843,2021-06-27,0.0,395560.0997185635,214655.90228031485,143215.71835630276,303311.93095585174,3596.6785771471723,Sao Jose do Rio Preto
7844,2021-06-28,0.0,394092.3571858855,214711.9007766432,143253.00396772035,304685.2840633786,3597.876638027575,Sao Jose do Rio Preto
7845,2021-06-29,0.0,392630.0607645789,214764.44322745202,143287.9843197239,306059.00730243325,3599.0148394113708,Sao Jose do Rio Preto
7846,2021-06-30,0.0,391173.1902436648,214813.55484325328,143320.67622922975,307433.0784571529,3600.093616531315,Sao Jose do Rio Preto
7847,2021-07-01,0.0,389721.7254867441,214859.2606952096,143351.09642019786,308807.47547141556,3601.1134024183366,Sao Jose do Rio Preto
7848,2021-07-02,1.4122218074038127e-08,388275.64645074867,214901.5856544249,143379.2614831342,310182.1765398113,3602.074618849177,Sao Jose do Rio Preto
7849,2021-07-03,1.5898661794836117e-08,386834.93319784827,214940.55435332574,143405.18784932815,311557.1601655675,3602.9776705519757,Sao Jose do Rio Preto
7850,2021-07-04,1.764558414006251e-08,385399.5657730633,214976.19158043177,143428.8920541981,312932.40457014827,3603.823003330374,Sao Jose do Rio Preto
7851,2021-07-05,1.9224920153826086e-08,383969.52433993673,215008.52184232077,143450.3904450849,314307.88834868354,3604.611039361223,Sao Jose do Rio Preto
7852,2021-07-06,2.0472885051327266e-08,382544.78913545475,215037.5695089137,143469.6992781696,315683.59025278373,3605.3421985233294,Sao Jose do Rio Preto
7853,2021-07-07,2.119849991083721e-08,381125.34046975296,215063.35881422905,143486.83471897626,317059.48918956576,3606.0168984099855,Sao Jose do Rio Preto
7854,2021-07-08,2.1182117365676503e-08,379711.1587258217,215085.91385713656,143501.8128428751,318435.5642206788,3606.635554341499,Sao Jose do Rio Preto
7855,2021-07-09,2.017394729619404e-08,378302.22435921186,215105.25860211113,143514.64963558526,319811.7945613296,3607.198579377717,Sao Jose do Rio Preto
7856,2021-07-10,1.7892582521745848e-08,376898.5178977416,215121.4168799871,143525.36099367778,321188.1595793084,3607.7063843305614,Sao Jose do Rio Preto
7857,2021-07-11,1.4023524492673949e-08,375500.0199412017,215134.412388712,143533.96272507886,322564.6387940147,3608.1593777765534,Sao Jose do Rio Preto
7858,2021-07-12,8.217708982285177e-09,374106.7111610613,215144.26869410038,143540.47054957235,323941.21187548275,3608.5579660693484,Sao Jose do Rio Preto
7859,2021-07-13,9.003177883002419e-11,372718.5723001739,215151.00923058827,143544.90009930302,325317.8586434074,3608.902553352256,Sao Jose do Rio Preto
7860,2021-07-14,0.0,371335.5841729211,215154.65730102386,143547.26691863715,326694.5590674187,3609.1935414842096,Sao Jose do Rio Preto
7861,2021-07-15,0.0,369957.72773109976,215155.23593058565,143547.5863667148,328071.29345747514,3609.431316440605,Sao Jose do Rio Preto
7862,2021-07-16,0.0,368584.98389240704,215152.7682323652,143545.87386132087,329448.0419992717,3609.6162767663973,Sao Jose do Rio Preto
7863,2021-07-17,0.0,367217.3337326787,215147.27702189406,143542.14462174615,330824.7852233486,3609.7488135211256,Sao Jose do Rio Preto
7864,2021-07-18,9.357854140745744e-10,365854.7583809104,215138.78501706995,143536.4138021525,332201.5037711128,3609.829316381953,Sao Jose do Rio Preto
7865,2021-07-19,6.03289379570161e-10,364497.2387257085,215127.3153212306,143528.69681381682,333578.1785579369,3609.858863179627,Sao Jose do Rio Preto
7866,2021-07-20,2.0120523296663498e-11,363144.7551287685,215112.8914858732,143519.00936695686,334954.81451467995,3609.8620681574403,Sao Jose do Rio Preto
7867,2021-07-21,0.0,361797.28853404673,215095.5362836152,143507.3666522291,336331.4216597732,3609.862535461528,Sao Jose do Rio Preto
7868,2021-07-22,0.0,360454.8207641978,215075.27143435282,143493.78315806374,337707.99215315096,3609.862660232146,Sao Jose do Rio Preto
7869,2021-07-23,5.278661542686801e-13,359117.3224800936,215052.13187865738,143478.28219184338,339084.51034605573,3609.862720814287,Sao Jose do Rio Preto
7870,2021-07-24,4.8097246696102e-12,357784.76775036234,215026.148437339,143460.88431282886,340460.9623334367,3609.862789911347,Sao Jose do Rio Preto
7871,2021-07-25,2.9922921277591914e-12,356457.17184093845,214997.30296598395,143441.57741764796,341837.3562959546,3609.862818427064,Sao Jose do Rio Preto
7872,2021-07-26,2.104411283083452e-12,355134.4806862145,214965.65953816942,143420.40424707078,343213.6633155211,3609.8628429185546,Sao Jose do Rio Preto
7873,2021-07-27,1.5785645846032433e-12,353816.69865151506,214931.21298051465,143397.3613501541,344589.8857270186,3609.862860434152,Sao Jose do Rio Preto
7874,2021-07-28,0.0,352503.8616597339,214893.9208426727,143372.42041007403,345966.0426432764,3609.86285912402,Sao Jose do Rio Preto
7875,2021-07-29,1.7104833681730071e-15,351195.79650340497,214853.98758764734,143345.71781540936,347342.04208932177,3609.8628739716683,Sao Jose do Rio Preto
7876,2021-07-30,2.8511098303434635e-14,349892.6293975095,214811.26422478128,143317.15418082566,348717.95108662744,3609.862879484877,Sao Jose do Rio Preto
7877,2021-07-31,0.0,348594.3165080109,214765.8022290048,143286.76384304988,350093.74659651646,3609.862877653448,Sao Jose do Rio Preto
7878,2021-08-01,0.0,347300.8259694288,214717.63906795144,143254.57179514164,351469.41182884603,3609.862871136993,Sao Jose do Rio Preto
7879,2021-08-02,0.0,346012.14604522486,214666.78865152152,143220.58731580654,352844.9405023749,3609.862863721625,Sao Jose do Rio Preto
7880,2021-08-03,0.0,344728.2532581921,214613.2786302053,143184.82884950866,354220.32020630315,3609.8628585364,Sao Jose do Rio Preto
7881,2021-08-04,0.0,343449.1309880411,214557.12807843531,143147.30911996882,355595.5426029793,3609.8628527012947,Sao Jose do Rio Preto
7882,2021-08-05,0.0,342174.7628557757,214498.35576885488,143108.04064959634,356970.5994980853,3609.8628431248253,Sao Jose do Rio Preto
7883,2021-08-06,0.0,340905.1227682078,214436.99262380405,143067.04406537494,358345.4769268753,3609.862835228573,Sao Jose do Rio Preto
7884,2021-08-07,0.0,339640.1892682964,214373.06376711914,143024.3361263394,359720.16367856885,3609.8628303712126,Sao Jose do Rio Preto
7885,2021-08-08,0.0,338379.94755067234,214306.5860315633,142979.92806088412,361094.6524686907,3609.8628271634666,Sao Jose do Rio Preto
7886,2021-08-09,0.0,337124.38797410164,214237.5698129884,142933.82680359975,362468.9390610175,3609.8628220826317,Sao Jose do Rio Preto
7887,2021-08-10,0.0,335873.484782039,214166.04559441007,142886.05268841342,363843.009706886,3609.8628182636103,Sao Jose do Rio Preto
7888,2021-08-11,0.0,334627.219090489,214092.03529245453,142836.62033495962,365216.8547143162,3609.862816002095,Sao Jose do Rio Preto
7889,2021-08-12,2.7939366447365837e-12,333385.5746012317,214015.55746276394,142785.5421208904,366590.4660422061,3609.862814945891,Sao Jose do Rio Preto
7890,2021-08-13,2.580348318499868e-12,332148.54032556823,213936.62375968022,142732.82582026802,367963.8390392957,3609.862813412463,Sao Jose do Rio Preto
7891,2021-08-14,7.338616045328948e-13,330916.0945392833,213855.25979153925,142678.48851532338,369336.9622002784,3609.862812409143,Sao Jose do Rio Preto
7892,2021-08-15,0.0,329688.2197734504,213771.48563566452,142622.5435987632,370709.82673661923,3609.862811877068,Sao Jose do Rio Preto
7893,2021-08-16,0.0,328464.8995181743,213685.31995192138,142565.00351775662,372082.4246260046,3609.8628117176813,Sao Jose do Rio Preto
7894,2021-08-17,0.0,327246.1212471589,213596.7755123744,142505.87679192243,373454.75102883024,3609.8628116675427,Sao Jose do Rio Preto
7895,2021-08-18,0.0,326031.8648295678,213505.87632867726,142445.17943842462,374826.7950298197,3609.862811777968,Sao Jose do Rio Preto
7896,2021-08-19,0.0,324822.1132802289,213412.64176315983,142382.9243730219,376198.5482269352,3609.862811970068,Sao Jose do Rio Preto
7897,2021-08-20,0.0,323616.84961396985,213317.0911781514,142319.12451147314,377570.002218139,3609.862812164957,Sao Jose do Rio Preto
7898,2021-08-21,0.0,322416.0568456189,213219.24393598156,142253.79276953722,378941.1486013933,3609.8628122837513,Sao Jose do Rio Preto
7899,2021-08-22,0.0,321219.7206814934,213119.11471153906,142186.93893611865,380311.98176314455,3609.862812568433,Sao Jose do Rio Preto
7900,2021-08-23,6.449017647870551e-13,320027.8244802391,213016.72226836774,142118.57552754396,381682.4936575631,3609.862812981109,Sao Jose do Rio Preto
7901,2021-08-24,1.3959929371432895e-12,318840.35059566447,212912.08712001407,142048.71622751493,383052.67519777047,3609.862813364085,Sao Jose do Rio Preto
7902,2021-08-25,1.6528005839137782e-12,317657.2823729893,212805.22805340454,141977.3735679561,384422.5183240272,3609.862813677864,Sao Jose do Rio Preto
7903,2021-08-26,1.2920500047193153e-12,316478.6031574328,212696.16385546594,141904.56008079185,385792.01497659326,3609.862813882949,Sao Jose do Rio Preto
7904,2021-08-27,4.3426270659674565e-13,315304.296823013,212584.91235220237,141830.28765694244,387161.1576794832,3609.8628139898547,Sao Jose do Rio Preto
7905,2021-08-28,4.3436744638410485e-13,314134.34992120013,212471.486504204,141754.56494174714,388529.9419124185,3609.8628142623274,Sao Jose do Rio Preto
7906,2021-08-29,3.811917522549703e-13,312968.7440882486,212355.90820389512,141677.4065387207,389898.35772908985,3609.862814499236,Sao Jose do Rio Preto
7907,2021-08-30,2.913914061555704e-13,311807.46297288977,212238.19568666673,141598.82461187348,391266.39740481187,3609.8628146897886,Sao Jose do Rio Preto
7908,2021-08-31,1.816221900321334e-13,310650.4902238549,212118.36718790964,141518.83132521604,392634.0532148994,3609.862814823196,Sao Jose do Rio Preto
7909,2021-09-01,6.853988583088808e-14,309497.80948987533,211996.4409430148,141437.4388427588,394001.31743466685,3609.862814888663,Sao Jose do Rio Preto
7910,2021-09-02,0.0,308349.40818316967,211872.42848517626,141354.65485766926,395368.186371062,3609.862815009234,Sao Jose do Rio Preto
7911,2021-09-03,0.0,307205.26700207393,211746.353303989,141270.49503888653,396734.64913879073,3609.8628150691975,Sao Jose do Rio Preto
7912,2021-09-04,0.0,306065.37144596194,211618.23033913167,141184.96935194609,398100.6999956671,3609.8628151235716,Sao Jose do Rio Preto
7913,2021-09-05,0.0,304929.70528562245,211488.07760862922,141098.08981585992,399466.33134775993,3609.862815165907,Sao Jose do Rio Preto
7914,2021-09-06,0.0,303798.2523485142,211355.91302958646,141009.86838231893,400831.5356618453,3609.8628151917655,Sao Jose do Rio Preto
7915,2021-09-07,0.0,302670.9976075051,211221.75255782306,140920.31569469935,402196.3065611319,3609.8628151895923,Sao Jose do Rio Preto
7916,2021-09-08,0.0,301547.9316993046,211085.60246707976,140829.43593775126,403560.6433726842,3609.862815102788,Sao Jose do Rio Preto
7917,2021-09-09,0.0,300429.0332388693,210947.48956897453,140737.2469964295,404924.5333283543,3609.862814978135,Sao Jose do Rio Preto
7918,2020-03-31,674514.0,0.0,0.0,146.1317673505006,0.0,39.80222195622359,Sao Joao da Boa Vista
7919,2020-04-01,673993.9052668768,520.0157835673965,0.04493741828577637,145.51841571559646,9.724455604196937,39.80222195622359,Sao Joao da Boa Vista
7920,2020-04-02,673473.9472128081,1039.737177845886,0.1793784159500497,144.96761924126415,19.441658299163688,39.80222195622359,Sao Joao da Boa Vista
7921,2020-04-03,672951.5790062979,1561.7107168416298,0.4030983077082597,144.47921553293497,29.15195991708654,39.80222195622359,Sao Joao da Boa Vista
